Benchmark,Multi-producer (8P)
Bucket,Count
0,7376
1,6144
2,4589
3,6872
4,7787
5,2560
6,12299
7,11405
8,6504
9,1
10,7285
11,10784
12,11267
13,13931
14,10242
15,8127
16,3899
17,0
18,1
19,0
20,9320
21,7718
22,8799
23,10348
24,11326
25,10206
26,8727
27,8304
28,11800
29,8885
30,7397
31,5788
32,3703
33,4169
34,3842
35,6024
36,4715
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,3139
46,4789
47,5971
48,8942
49,9856
50,6162
51,8408
52,12159
53,16181
54,18028
55,16385
56,16444
57,16960
58,16911
59,16200
60,16092
61,17554
62,15934
63,15694
64,15953
65,16788
66,15139
67,13825
68,14853
69,13357
70,15871
71,15361
72,15716
73,13220
74,13809
75,13282
76,17553
77,17965
78,16892
79,15487
80,18490
81,14774
82,14006
83,14329
84,14434
85,17596
86,31860
87,11382
88,9451
89,9572
90,10105
91,9710
92,11372
93,10977
94,8108
95,11296
96,12410
97,10904
98,10198
99,1
