Bucket,Count
0,25925
1,17931
2,17077
3,29235
4,11957
5,28947
6,0
7,1
8,20743
9,26770
10,34313
11,49245
12,0
13,1
14,0
15,0
16,0
17,0
18,14371
19,20663
20,3330
21,4013
22,3701
23,3680
24,3386
25,4165
26,4000
27,3320
28,13416
29,5981
30,33259
31,7826
32,8749
33,10802
34,9787
35,21397
36,11181
37,11350
38,8727
39,20411
40,21960
41,14650
42,14775
43,21833
44,12913
45,18345
46,6003
47,4193
48,4814
49,6051
50,4769
51,4293
52,4727
53,4597
54,4684
55,4741
56,4924
57,3924
58,4727
59,4462
60,4597
61,4480
62,4279
63,4508
64,4422
65,4551
66,629
67,0
68,4746
69,5667
70,8199
71,5310
72,5418
73,5348
74,5651
75,4807
76,6046
77,5627
78,5071
79,5487
80,6595
81,5939
82,4699
83,6805
84,6377
85,4404
86,4303
87,6561
88,6937
89,5615
90,5655
91,16562
92,17737
93,19590
94,25558
95,20094
96,30110
97,27987
98,22583
99,1
