Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Memory_Overhead_bytes,Contention_Rate,Queue_Full_Failures,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
Single-threaded baseline,Lock,1,88,0,100000,0.27386,0.199,29.4,0.3362,1.22764,8800120,0,0,0.3,0.3,0.3,0.4,0.7,15.299,3.05542e+06
Single-threaded baseline,EBR,1,88,0,100000,0.34992,0.199,2077.86,6.6625,19.0401,8801152,0,0,0.3,0.3,0.4,0.5,6.3,31.7,2.47748e+06
Single-threaded baseline,HP,1,88,0,100000,1.81977,0.2,980.381,33.9329,18.6467,8800256,0,0,0.3,0.3,0.3,0.4,754.085,841.584,530792
Single-threaded baseline,Boost,1,88,0,100000,0.26518,0.199,61.199,0.451234,1.70161,14567168,0,0,0.3,0.3,0.3,0.3,0.8,15.3,3.09281e+06
Multi-producer (2P),Lock,3,88,0,100000,22651.9,519.89,39631.3,11233.2,0.495907,8800120,0.030283,0,24774,36484.6,37763.5,39110.6,39343.6,39353.6,581098
Multi-producer (2P),EBR,3,88,0,100000,7379.38,115.297,12456.9,3740.67,0.506908,8801152,0,0,8231.14,11757.7,12184,12397.8,12451.2,12455.7,800156
Multi-producer (2P),HP,3,88,0,100000,85945.8,131.098,157038,43355.1,0.504447,8800256,0,0,88080.6,143527,149999,155676,157034,157037,525539
Multi-producer (2P),Boost,3,88,0,100000,16237,2002.26,23105.7,5361.85,0.330225,14567168,0,0,17824.5,21466.8,22095.1,22924.8,23102.2,23105.5,720873
Multi-producer (4P),Lock,5,88,0,100000,32843.2,140.598,55133.5,14519.4,0.442083,8800120,0.0806277,0,32711.7,52043,54149.3,54799.9,54858.6,54950.3,570449
Multi-producer (4P),EBR,5,88,0,100000,11027.7,114.797,17613.5,5044.98,0.457482,8801152,0,0,12978.8,16130.8,16711.1,17395.3,17589.9,17610.2,668724
Multi-producer (4P),HP,5,88,0,100000,84445.7,16.8,156245,41126.4,0.487015,8800256,0,0,84085.5,140722,148872,154818,156235,156243,512323
Multi-producer (4P),Boost,5,88,0,100000,10912,119.197,13697.3,3237.21,0.296666,14567168,0,0,12568.7,13342,13458.4,13659.6,13679.3,13694.8,761974
Multi-producer (8P),Lock,9,88,0,100000,43763.2,1179.48,76222.5,20156.3,0.460577,8800120,0.113053,0,44366.2,71392.7,74174.7,75725.8,76110.3,76149,523428
Multi-producer (8P),EBR,9,88,0,100000,14692,102.998,25872.6,6751.91,0.459565,8801152,0,0,15429.3,22509.6,23849.3,25466.6,25828,25857.3,604841
Multi-producer (8P),HP,9,88,0,100000,81106.1,1633.67,154319,40807.8,0.50314,8800256,0,0,78121.6,138643,146573,152857,154306,154317,521116
Multi-producer (8P),Boost,9,88,0,100000,18734.1,222.995,29058.2,6995.46,0.373408,14567168,0,0,19374.6,27180.6,28152.1,28870.9,28987.2,29014.9,591451
Queue depth 0,Lock,1,88,0,10000,0.298914,0.199,48.099,0.547472,1.83154,880120,0,0,0.3,0.3,0.4,0.4,0.6,14.8,2.88956e+06
Queue depth 0,EBR,1,88,0,10000,0.351553,0.199,58.798,0.807299,2.29638,881152,0,0,0.3,0.4,0.4,0.7,6.8,19.7,2.53503e+06
Queue depth 0,HP,1,88,0,10000,1.78591,0.199,867.583,33.5261,18.7726,880256,0,0,0.3,0.4,0.4,0.5,749.486,836.784,546647
Queue depth 0,Boost,1,88,0,10000,0.265395,0.199,16,0.331482,1.24901,6647168,0,0,0.3,0.3,0.3,0.3,0.3,14.5,2.96425e+06
Queue depth 10,Lock,1,88,10,10000,0.318033,0.199,51.699,0.710184,2.23305,880120,0,0,0.3,0.3,0.4,0.4,3.7,27.9,2.77536e+06
Queue depth 10,EBR,1,88,10,10000,0.367073,0.199,23.1,0.627654,1.70989,881152,0,0,0.3,0.4,0.5,0.8,10.4,20,2.44438e+06
Queue depth 10,HP,1,88,10,10000,1.9127,0.2,896.483,35.08,18.3405,880256,0,0,0.3,0.4,0.4,0.5,787.285,830.184,511511
Queue depth 10,Boost,1,88,10,10000,0.268605,0.199,16.8,0.318848,1.18705,6647168,0,0,0.3,0.3,0.3,0.3,0.4,15,3.13801e+06
Queue depth 100,Lock,1,88,100,10000,0.348793,0.199,327.593,3.39684,9.73884,880120,0,0,0.3,0.3,0.4,0.4,3.6,79.199,2.54199e+06
Queue depth 100,EBR,1,88,100,10000,0.359912,0.199,26.799,0.603018,1.67546,881152,0,0,0.3,0.4,0.4,1,7.7,19,2.46523e+06
Queue depth 100,HP,1,88,100,10000,1.77916,0.199,926.982,33.2454,18.6861,880256,0,0,0.3,0.4,0.4,0.5,747.486,804.984,549271
Queue depth 100,Boost,1,88,100,10000,0.270635,0.199,17.3,0.387169,1.4306,6647168,0,0,0.3,0.3,0.3,0.3,3.5,16.899,3.13761e+06
Queue depth 1000,Lock,1,88,1000,10000,0.330924,0.199,52.799,0.900702,2.72178,880120,0,0,0.3,0.4,0.4,0.5,13.7,48.799,2.67478e+06
Queue depth 1000,EBR,1,88,1000,10000,0.829654,0.2,4644.11,46.4391,55.974,881152,0,0,0.3,0.4,0.4,1.3,7.1,26.2,1.13956e+06
Queue depth 1000,HP,1,88,1000,10000,1.88868,0.2,873.783,34.7974,18.4242,880256,0,0,0.3,0.4,0.4,0.4,756.886,873.483,518083
Queue depth 1000,Boost,1,88,1000,10000,0.272205,0.199,17.5,0.371133,1.36343,6647168,0,0,0.3,0.3,0.3,0.3,0.4,17,3.0924e+06
P1:C1,Lock,2,88,0,5000,505.999,1.2,845.384,197.222,0.389768,440120,0.000578644,0,526.19,768.385,798.284,835.283,844.984,845.384,48578
P1:C1,EBR,2,88,0,5000,179.98,37.699,239.295,39.5337,0.219656,441152,0,0,182.397,226.896,235.295,237.195,239.195,239.295,48622.6
P1:C1,HP,2,88,0,5000,3649.23,0.3,7329.96,2272.39,0.622705,440256,0,0,3431.73,6550.07,7294.36,7327.06,7329.66,7329.76,49161.8
P1:C1,Boost,2,88,0,5000,22.9429,0.2,105.798,33.2579,1.4496,6207168,0,0,0.5,85.798,92.099,103.998,105.598,105.798,48967.4
P2:C2,Lock,4,88,0,10000,1133.48,1.1,1930.96,316.918,0.279597,880120,0.0108017,0,1152.38,1511.47,1677.07,1767.07,1774.57,1913.76,92645.2
P2:C2,EBR,4,88,0,10000,475.727,1.4,838.884,246.101,0.517315,881152,0,0,512.69,736.486,819.584,835.984,838.184,838.784,96627.3
P2:C2,HP,4,88,0,10000,3977.46,1.1,7965.44,2132.85,0.536234,880256,0,0,3858.22,6475.77,7174.36,7178.26,7179.26,7267.26,96876
P2:C2,Boost,4,88,0,10000,1609.86,1,2835.74,786.267,0.488408,6647168,0,0,1742.47,2644.95,2730.25,2803.55,2813.05,2815.75,96088.1
P4:C4,Lock,8,88,0,20000,3525.43,1,5106.9,978.588,0.27758,1760120,0.22065,0,3676.73,4657.61,4710.41,4759.81,4791.61,4967.4,167198
P4:C4,EBR,8,88,0,20000,813.029,1,1392.17,331.208,0.407375,1761152,0,0,861.184,1209.98,1259.88,1307.17,1347.67,1354.47,175761
P4:C4,HP,8,88,0,20000,3360.55,1.6,5961.18,1700.83,0.506117,1760256,0,0,4133.22,5026.6,5088.2,5164.3,5200.4,5909.78,175392
P4:C4,Boost,8,88,0,20000,910.812,0.6,1547.77,311.807,0.342339,7527168,0,0,996.181,1348.57,1469.77,1510.27,1521.97,1528.07,174412
P8:C8,Lock,16,88,0,40000,1941,1.1,5461.39,1019.39,0.525189,3520120,0.266101,0,1650.17,3802.03,4610.61,5007.9,5244.2,5339.5,239830
P8:C8,EBR,16,88,0,40000,1394.12,0.3,3071.14,417.063,0.299158,3521152,0,0,1481.17,1812.46,1895.46,1976.06,1997.06,2035.06,306127
P8:C8,HP,16,88,0,40000,3162.01,0.8,7655.65,1249.45,0.395145,3520256,0,0,3514.63,4273.62,4431.91,4518.11,4754.51,6958.16,299713
P8:C8,Boost,16,88,0,40000,1858.63,1.3,4056.32,781.208,0.420313,9287168,0,0,2174.86,2734.05,2860.84,2907.64,2923.84,2934.04,312348
P2:C1,Lock,3,88,0,10000,1081.65,0.6,2194.76,587.076,0.542761,880120,0.000708003,0,1093.38,1894.86,2011.96,2107.06,2118.06,2122.96,94242.6
P2:C1,EBR,3,88,0,10000,13.7356,0.3,96.998,21.3737,1.55608,881152,0,0,2.5,48.999,63.699,89.899,96.598,96.898,94636.3
P2:C1,HP,3,88,0,10000,6863.64,2.7,13484.1,3896.61,0.567718,880256,0,0,6854.17,12053.4,12745.7,13475.6,13482.8,13483.7,95748.7
P2:C1,Boost,3,88,0,10000,18.3287,0.7,75.498,19.1695,1.04587,6647168,0,0,9.799,54.099,62.499,72.399,74.898,75.498,94199.6
P4:C1,Lock,5,88,0,20000,4458.4,1.7,7290.36,1753.98,0.39341,1760120,0.00208015,0,4402.22,6762.47,7022.96,7215.66,7241.36,7269.76,178359
P4:C1,EBR,5,88,0,20000,404.166,2.4,804.785,200.564,0.496241,1761152,0,0,471.49,612.888,745.185,786.485,798.984,801.784,177921
P4:C1,HP,5,88,0,20000,13535.9,1.3,26540,7079.1,0.522986,1760256,0,0,13489.4,23642.8,25099.9,25805.8,26538.6,26539.5,180556
P4:C1,Boost,5,88,0,20000,2240.19,0.9,4117.92,1156.21,0.516119,7527168,0,0,2243.96,3842.62,3986.52,4096.22,4111.22,4114.62,179178
P8:C1,Lock,9,88,0,40000,14992.8,2.7,25010.8,6169.96,0.411527,3520120,0.00548472,0,15349.5,23448.3,24350.8,24739.7,24815.1,24917.7,301537
P8:C1,EBR,9,88,0,40000,2328.47,0.4,3483.93,789.278,0.338968,3521152,0,0,2434.15,3081.44,3250.84,3382.03,3464.93,3479.13,335263
P8:C1,HP,9,88,0,40000,27732.2,2.1,55185.8,14908,0.53757,3520256,0,0,27017.4,49012.3,52180.6,54413.7,55182.5,55185.7,335499
P8:C1,Boost,9,88,0,40000,3321.86,1.4,5435.6,1299.62,0.391232,9287168,0,0,3515.33,5080.2,5268.4,5348.3,5361.5,5381.69,334411
P4:C2,Lock,6,88,0,20000,2366.46,0.6,4561.31,1082.31,0.457353,1760120,0.0988167,0,2350.65,3872.32,4165.22,4232.62,4266.92,4348.62,169989
P4:C2,EBR,6,88,0,20000,1064.26,1.9,1979.16,458.274,0.430603,1761152,0,0,1085.68,1659.57,1688.87,1733.77,1737.77,1748.47,181677
P4:C2,HP,6,88,0,20000,11106.5,1.8,20536.7,5744.63,0.517231,1760256,0,0,11971.4,18802.1,19629.7,19725.8,20381.9,20385.2,191701
