Benchmark,Multi-producer (8P)
Bucket,Count
0,1522
1,1351
2,1010
3,773
4,790
5,757
6,645
7,828
8,1038
9,1039
10,1071
11,1050
12,1045
13,1079
14,873
15,859
16,1349
17,703
18,864
19,946
20,910
21,834
22,1172
23,1162
24,1037
25,800
26,869
27,953
28,758
29,797
30,2974
31,21702
32,23147
33,16316
34,13726
35,14963
36,13787
37,12031
38,14789
39,12358
40,13904
41,17495
42,14324
43,13028
44,12334
45,13751
46,12804
47,13155
48,14063
49,12252
50,12729
51,12886
52,11929
53,14691
54,15612
55,13687
56,14535
57,15841
58,15092
59,15532
60,14256
61,14850
62,14284
63,14091
64,22819
65,22943
66,13111
67,12708
68,10913
69,11352
70,12260
71,11855
72,11911
73,12576
74,12419
75,12437
76,11793
77,11626
78,12199
79,12615
80,12230
81,12714
82,11191
83,11998
84,12390
85,12562
86,12624
87,14683
88,13370
89,11969
90,12638
91,13242
92,12544
93,12259
94,13771
95,14198
96,14876
97,13293
98,40108
99,1
