Benchmark,Multi-producer (8P)
Bucket,Count
0,2262
1,1260
2,605
3,1980
4,487
5,793
6,1962
7,3048
8,1676
9,2066
10,1636
11,1069
12,1324
13,7982
14,1778
15,1268
16,1689
17,1120
18,987
19,1690
20,993
21,1982
22,20627
23,20466
24,21626
25,22194
26,18586
27,10668
28,11271
29,10935
30,10768
31,13153
32,10613
33,10383
34,11493
35,10518
36,9846
37,10418
38,11905
39,11739
40,10939
41,11109
42,11082
43,10522
44,11949
45,10600
46,11004
47,10658
48,11468
49,12286
50,10793
51,11175
52,13100
53,13330
54,10323
55,11001
56,11443
57,11113
58,10986
59,11734
60,11315
61,9893
62,11192
63,17914
64,20741
65,14561
66,11706
67,11600
68,11575
69,10599
70,11136
71,11270
72,10019
73,11417
74,11388
75,11008
76,11342
77,10763
78,10871
79,11411
80,10849
81,11750
82,11765
83,10712
84,10058
85,8881
86,10060
87,11921
88,17055
89,16935
90,10582
91,11365
92,10642
93,11664
94,12023
95,17673
96,15806
97,17766
98,17290
99,1
