Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Avg_Contentions,Contention_Rate,Lock_Efficiency,Memory_Overhead_bytes,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
Single-threaded baseline,Lock,1,88,0,1000000,0.266605,0.199,191.497,0.578452,2.16969,0,0,1e+06,88000128,0.3,0.3,0.3,0.4,1.1,16.8,2.99072e+06
Multi-producer (2P),Lock,3,88,0,1000000,211081,441.193,354180,91653.8,0.434212,0.082719,0.050872,1.20891e+07,88000128,216833,323071,339255,350639,353605,353844,1.39786e+06
Multi-producer (4P),Lock,5,88,0,1000000,298261,120.598,490542,125816,0.421831,0.138564,0.058427,7.21688e+06,88000128,303334,469934,487591,489486,490124,490251,1.15992e+06
Multi-producer (8P),Lock,9,88,0,1000000,428729,30.3,731015,183423,0.427831,0.198219,0.043065,5.04493e+06,88000128,434448,681178,709295,726791,730541,730723,962127
Queue depth 0,Lock,1,88,0,100000,0.276558,0.199,95.398,0.62996,2.27786,0,0,100000,8800128,0.3,0.3,0.3,0.4,3.4,17.7,3.12016e+06
Queue depth 10,Lock,1,88,10,100000,0.274744,0.199,75.199,0.556306,2.02482,0,0,100000,8800128,0.3,0.3,0.3,0.4,0.9,17.299,3.13395e+06
Queue depth 100,Lock,1,88,100,100000,0.279164,0.199,115.799,0.609955,2.18494,0,0,100000,8800128,0.3,0.3,0.3,0.4,0.9,19.1,3.10032e+06
Queue depth 1000,Lock,1,88,1000,100000,0.277177,0.199,89.898,0.65061,2.34728,0,0,100000,8800128,0.3,0.3,0.3,0.3,1.4,17.3,3.12196e+06
Queue depth 10000,Lock,1,88,10000,100000,0.280957,0.199,83.999,0.595679,2.12018,0,0,100000,8800128,0.3,0.3,0.3,0.4,3.4,19.799,3.08143e+06
Burst latency (burst=100),Lock,2,88,0,1000,27.9121,0.3,76.399,19.5828,0.70159,0.14,0.113,7142.86,88128,23.7,68.299,72.299,74.798,74.998,74.998,997.341
Burst latency (burst=1000),Lock,2,88,0,10000,91.3643,0.8,334.395,76.9773,0.842531,0.0792,0.06,126263,880128,75.099,205.697,222.297,331.995,334.195,334.395,9888.12
Burst latency (burst=10000),Lock,2,88,0,100000,969.645,1.1,2421.76,519.572,0.535837,0.1058,0.08447,945180,8800128,927.586,1615.97,1853.97,2153.57,2410.76,2421.56,95197.8
16B payload,Lock,1,40,0,100000,0.199195,0.099,74.998,0.625678,3.14103,0,0,100000,4000128,0.2,0.2,0.3,0.3,4.1,25.299,3.86861e+06
256B payload,Lock,1,280,0,100000,0.68101,0.599,66.399,0.947164,1.39082,0,0,100000,28000128,0.6,0.7,0.7,0.7,14.399,28.6,1.26973e+06
1KB payload,Lock,1,1048,0,100000,2.81866,2.499,128.398,1.89831,0.673478,0,0,100000,104800128,2.6,2.7,2.8,13.1,24.6,62.099,326247
4KB payload,Lock,1,4120,0,50000,9.99736,9.399,117.099,3.06114,0.306195,0,0,50000,206000128,9.5,10,11.1,23.799,52.699,88.898,92916.4
P1:C1,Lock,2,88,0,10000,377.807,3,774.588,122.004,0.322925,0.3315,0.3016,30165.9,880128,382.894,509.692,611.891,719.189,771.989,774.488,95130.7
P2:C1,Lock,3,88,0,20000,3813.74,18.2,6272.2,1520.82,0.398774,0.1482,0.1091,134953,1760128,4003.74,5942.01,5993.31,6189.51,6228.7,6235.1,178788
P4:C1,Lock,5,88,0,40000,13114.1,0.4,21700.9,5268.8,0.401765,0.14725,0.0507,271647,3520128,12877.6,19890.4,20733.3,21385.5,21560.3,21632.5,304124
P1:C2,Lock,3,88,0,10000,35.8887,0.3,210.497,43.1494,1.20231,0.8249,0.4007,12122.7,880128,13.7,106.599,121.798,170.898,186.597,189.197,92882.1
P1:C4,Lock,5,88,0,10000,39.2734,0.2,404.394,60.1873,1.53252,1.8947,0.4159,5277.88,880128,13.799,114.398,209.697,249.096,273.096,278.996,84988
P4:C4,Lock,8,88,0,40000,1602.78,0.4,2881.16,569.546,0.355348,1.7991,0.35525,22233.3,3520128,1516.18,2405.06,2703.96,2775.06,2809.76,2834.36,295633
Coordinated Omission Corrected,Lock,2,88,0,100101,11.1259,0.5,10340.4,138.747,12.4706,0.968212,0.963797,103387,8809016,2.4,24.2,29.699,53.199,1848.27,6091.5,1000.01
